date,log_exists,clear_by_fit,measured_MJ,ref_MJ,anchor_scaling,anchor_used,anchor_resid_log,scaling_daily,source,nrmse,A,n,sunrise,sunset,note
2025-06-04,True,False,25.38972,30.7,,,,1.1389722681127874,annual_fit,0.1784543579210126,783.3807344875713,0.9800000000000004,04:49,18:52,ok
2025-06-05,True,True,27.67662,30.69,1.1088781794886804,True,-0.025964202898660388,1.1380463429884735,annual_fit,0.018680500721070335,918.3414394983538,1.2200000000000006,04:54,18:50,ok
2025-06-06,True,False,20.89716,30.67,,,,1.1371554672825417,annual_fit,0.19848786992305742,701.1762654433671,1.1800000000000006,05:00,18:29,ok
2025-06-07,True,False,16.32492,30.64,,,,1.1362998235233297,annual_fit,0.322902101298115,576.6800160131774,1.4600000000000009,05:10,18:49,ok
2025-06-08,True,False,10.35978,30.62,,,,1.135479586476485,annual_fit,0.23320854226130655,531.2818956726805,4.000000000000003,05:29,18:26,ok
2025-06-09,True,False,12.30594,30.59,,,,1.1346949231751835,annual_fit,0.3380541321978837,424.8363799050678,1.1700000000000006,04:53,18:09,ok
2025-06-10,True,False,3.18744,30.56,,,,1.1339459929496265,annual_fit,0.22281757589607512,99.0621073504791,0.5,06:04,17:42,ok
2025-06-11,True,False,6.49485,30.53,,,,1.1332329474557474,annual_fit,0.41046270542007596,195.25388779046997,0.5,06:24,17:29,ok
2025-06-12,True,False,14.30376,30.49,,,,1.1325559307030542,annual_fit,0.17580293040656128,400.6468187223909,0.6800000000000002,04:52,18:45,ok
2025-06-13,True,False,22.54638,30.45,,,,1.1319150790815375,annual_fit,0.16536716714862368,756.9756064598661,1.2200000000000006,05:00,18:44,ok
2025-06-14,True,False,2.83206,30.41,,,,1.1313105213875831,annual_fit,0.25326939035022794,100.48991827047112,0.5,05:14,14:57,ok
2025-06-15,True,False,11.31774,30.37,,,,1.13074237884882,annual_fit,0.3209096652467429,294.78735882131224,0.5,05:33,18:56,ok
2025-06-16,True,False,24.02928,30.32,,,,1.1302107651478537,annual_fit,0.14239885171242472,870.2644085916144,1.3400000000000007,05:15,18:44,ok
